nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.039767265319824219e-01 -2.576203346252441406e-01 -3.476936817169189453e-01 -3.485953807830810547e-01 -3.132512569427490234e-01 -3.262634277343750000e-01 -3.254716396331787109e-01 -3.118305206298828125e-01 -3.037769794464111328e-01 -2.978479862213134766e-01 -2.950596809387207031e-01 -2.926077842712402344e-01 -2.895851135253906250e-01 -2.866880893707275391e-01 -2.836563587188720703e-01 -2.803308963775634766e-01 -2.768725156784057617e-01 -2.732790708541870117e-01 -2.695789337158203125e-01 -2.659267187118530273e-01 -2.624845504760742188e-01 -2.593654394149780273e-01 -2.566270828247070312e-01 -2.543044686317443848e-01 -2.524335980415344238e-01 -2.510547041893005371e-01 -2.502070069313049316e-01 -1.249603033065795898e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.043319702148437500e-01 -2.601680755615234375e-01 -3.539175987243652344e-01 -3.563690185546875000e-01 -3.211913108825683594e-01 -3.352487087249755859e-01 -3.361532688140869141e-01 -3.262255191802978516e-01 -3.254384994506835938e-01 -3.223409652709960938e-01 -3.153102397918701172e-01 -3.089785575866699219e-01 -3.038251399993896484e-01 -3.000564575195312500e-01 -2.968411445617675781e-01 -2.936882972717285156e-01 -2.906026840209960938e-01 -2.874863147735595703e-01 -2.842717170715332031e-01 -2.809886932373046875e-01 -2.776598930358886719e-01 -2.743296623229980469e-01 -2.710878849029541016e-01 -2.680352926254272461e-01 -2.652555704116821289e-01 -2.628074884414672852e-01 -2.607337832450866699e-01 -2.590709328651428223e-01 -2.578526139259338379e-01 -2.571079134941101074e-01 -1.284285783767700195e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.220726966857910156e-01 -3.098869323730468750e-01 -3.449735641479492188e-01 -3.222556114196777344e-01 -3.412389755249023438e-01 -3.443307876586914062e-01 -3.355269432067871094e-01 -3.359563350677490234e-01 -3.345437049865722656e-01 -3.300592899322509766e-01 -3.269236087799072266e-01 -3.231439590454101562e-01 -3.180916309356689453e-01 -3.130013942718505859e-01 -3.084173202514648438e-01 -3.044998645782470703e-01 -3.010118007659912109e-01 -2.977244853973388672e-01 -2.945480346679687500e-01 -2.914140224456787109e-01 -2.882813215255737305e-01 -2.851508855819702148e-01 -2.820419073104858398e-01 -2.789919376373291016e-01 -2.760598659515380859e-01 -2.733131647109985352e-01 -2.708141803741455078e-01 -2.686136960983276367e-01 -2.667521834373474121e-01 -2.652636766433715820e-01 -2.641769051551818848e-01 -2.635147571563720703e-01 -1.316461563110351562e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.198420524597167969e-01 -2.972369194030761719e-01 -4.025945663452148438e-01 -4.036035537719726562e-01 -3.582835197448730469e-01 -3.512730598449707031e-01 -3.426399230957031250e-01 -3.444528579711914062e-01 -3.441886901855468750e-01 -3.406295776367187500e-01 -3.385062217712402344e-01 -3.360049724578857422e-01 -3.325450420379638672e-01 -3.290524482727050781e-01 -3.252196311950683594e-01 -3.209109306335449219e-01 -3.165173530578613281e-01 -3.123433589935302734e-01 -3.085145950317382812e-01 -3.049814701080322266e-01 -3.016493320465087891e-01 -2.984514236450195312e-01 -2.953402996063232422e-01 -2.922883033752441406e-01 -2.892919778823852539e-01 -2.863651514053344727e-01 -2.835360765457153320e-01 -2.808462381362915039e-01 -2.783434391021728516e-01 -2.760744094848632812e-01 -2.740806341171264648e-01 -2.723975181579589844e-01 -2.710547447204589844e-01 -2.700767517089843750e-01 -2.694820165634155273e-01 -1.346411705017089844e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.224603652954101562e-01 -3.034324645996093750e-01 -4.096026420593261719e-01 -4.107613563537597656e-01 -3.692736625671386719e-01 -3.848705291748046875e-01 -3.841915130615234375e-01 -3.683695793151855469e-01 -3.591947555541992188e-01 -3.525795936584472656e-01 -3.497433662414550781e-01 -3.473420143127441406e-01 -3.442955017089843750e-01 -3.414340019226074219e-01 -3.384258747100830078e-01 -3.350627422332763672e-01 -3.315217494964599609e-01 -3.277711868286132812e-01 -3.238155841827392578e-01 -3.198132514953613281e-01 -3.159236907958984375e-01 -3.122339248657226562e-01 -3.087501525878906250e-01 -3.054401874542236328e-01 -3.022685050964355469e-01 -2.992069721221923828e-01 -2.962393760681152344e-01 -2.933636903762817383e-01 -2.905905246734619141e-01 -2.879410982131958008e-01 -2.854458093643188477e-01 -2.831400632858276367e-01 -2.810592651367187500e-01 -2.792369127273559570e-01 -2.777025103569030762e-01 -2.764810323715209961e-01 -2.755932211875915527e-01 -2.750540971755981445e-01 -1.374366283416748047e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.229896545410156250e-01 -3.066201210021972656e-01 -4.169588088989257812e-01 -4.197387695312500000e-01 -3.782343864440917969e-01 -3.947710990905761719e-01 -3.958549499511718750e-01 -3.842263221740722656e-01 -3.834228515625000000e-01 -3.799219131469726562e-01 -3.718085289001464844e-01 -3.645582199096679688e-01 -3.587398529052734375e-01 -3.545985221862792969e-01 -3.511404991149902344e-01 -3.477773666381835938e-01 -3.445076942443847656e-01 -3.412005901336669922e-01 -3.377594947814941406e-01 -3.342008590698242188e-01 -3.305275440216064453e-01 -3.267664909362792969e-01 -3.229966163635253906e-01 -3.193044662475585938e-01 -3.157474994659423828e-01 -3.123450279235839844e-01 -3.090922832489013672e-01 -3.059751987457275391e-01 -3.029797077178955078e-01 -3.000986576080322266e-01 -2.973332405090332031e-01 -2.946919202804565430e-01 -2.921917438507080078e-01 -2.898561954498291016e-01 -2.877116203308105469e-01 -2.857856750488281250e-01 -2.841051816940307617e-01 -2.826943993568420410e-01 -2.815740108489990234e-01 -2.807608842849731445e-01 -2.802678346633911133e-01 -1.400513052940368652e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.441516876220703125e-01 -3.657670021057128906e-01 -4.069542884826660156e-01 -3.799114227294921875e-01 -4.020557403564453125e-01 -4.055128097534179688e-01 -3.949952125549316406e-01 -3.953933715820312500e-01 -3.936614990234375000e-01 -3.883528709411621094e-01 -3.846726417541503906e-01 -3.802647590637207031e-01 -3.743844032287597656e-01 -3.684892654418945312e-01 -3.632225990295410156e-01 -3.587708473205566406e-01 -3.548440933227539062e-01 -3.511652946472167969e-01 -3.476195335388183594e-01 -3.441100120544433594e-01 -3.405737876892089844e-01 -3.369939327239990234e-01 -3.333711624145507812e-01 -3.297264575958251953e-01 -3.261029720306396484e-01 -3.225500583648681641e-01 -3.191058635711669922e-01 -3.157904148101806641e-01 -3.126091957092285156e-01 -3.095598220825195312e-01 -3.066380023956298828e-01 -3.038432598114013672e-01 -3.011782169342041016e-01 -2.986516952514648438e-01 -2.962782382965087891e-01 -2.940753698348999023e-01 -2.920643091201782227e-01 -2.902667522430419922e-01 -2.887040376663208008e-01 -2.873959541320800781e-01 -2.863593697547912598e-01 -2.856085300445556641e-01 -2.851538062095642090e-01 -1.425007581710815430e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.420927047729492188e-01 -3.521833419799804688e-01 -4.764642715454101562e-01 -4.772129058837890625e-01 -4.232058525085449219e-01 -4.145436286926269531e-01 -4.040155410766601562e-01 -4.058413505554199219e-01 -4.052619934082031250e-01 -4.008388519287109375e-01 -3.981456756591796875e-01 -3.950448036193847656e-01 -3.908500671386718750e-01 -3.866515159606933594e-01 -3.820805549621582031e-01 -3.769741058349609375e-01 -3.717923164367675781e-01 -3.668918609619140625e-01 -3.624162673950195312e-01 -3.582997322082519531e-01 -3.544216156005859375e-01 -3.506937026977539062e-01 -3.470458984375000000e-01 -3.434317111968994141e-01 -3.398301601409912109e-01 -3.362371921539306641e-01 -3.326649665832519531e-01 -3.291382789611816406e-01 -3.256866931915283203e-01 -3.223357200622558594e-01 -3.191020488739013672e-01 -3.159942626953125000e-01 -3.130164146423339844e-01 -3.101699352264404297e-01 -3.074574470520019531e-01 -3.048844337463378906e-01 -3.024592399597167969e-01 -3.001936674118041992e-01 -2.981028556823730469e-01 -2.962034940719604492e-01 -2.945129871368408203e-01 -2.930483818054199219e-01 -2.918257117271423340e-01 -2.908591628074645996e-01 -2.901601791381835938e-01 -2.897372841835021973e-01 -1.447978615760803223e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.459894180297851562e-01 -3.614149093627929688e-01 -4.871330261230468750e-01 -4.878950119018554688e-01 -4.379940032958984375e-01 -4.558453559875488281e-01 -4.545030593872070312e-01 -4.352993965148925781e-01 -4.239993095397949219e-01 -4.157662391662597656e-01 -4.120326042175292969e-01 -4.088535308837890625e-01 -4.049525260925292969e-01 -4.013061523437500000e-01 -3.975219726562500000e-01 -3.933520317077636719e-01 -3.890018463134765625e-01 -3.844304084777832031e-01 -3.796401023864746094e-01 -3.748140335083007812e-01 -3.701357841491699219e-01 -3.657031059265136719e-01 -3.615164756774902344e-01 -3.575286865234375000e-01 -3.536872863769531250e-01 -3.499484062194824219e-01 -3.462779521942138672e-01 -3.426573276519775391e-01 -3.390822410583496094e-01 -3.355579376220703125e-01 -3.320987224578857422e-01 -3.287229537963867188e-01 -3.254480361938476562e-01 -3.222873210906982422e-01 -3.192496299743652344e-01 -3.163416385650634766e-01 -3.135676383972167969e-01 -3.109323978424072266e-01 -3.084428310394287109e-01 -3.061068058013916016e-01 -3.039346933364868164e-01 -3.019391298294067383e-01 -3.001338243484497070e-01 -2.985329627990722656e-01 -2.971506118774414062e-01 -2.959995865821838379e-01 -2.950914502143859863e-01 -2.944357395172119141e-01 -2.940394282341003418e-01 -1.469534039497375488e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.475954055786132812e-01 -3.675804138183593750e-01 -4.989480972290039062e-01 -5.015068054199218750e-01 -4.511222839355468750e-01 -4.699974060058593750e-01 -4.705610275268554688e-01 -4.560499191284179688e-01 -4.544191360473632812e-01 -4.496569633483886719e-01 -4.394898414611816406e-01 -4.303865432739257812e-01 -4.230179786682128906e-01 -4.176692962646484375e-01 -4.131665229797363281e-01 -4.088129997253417969e-01 -4.046039581298828125e-01 -4.003839492797851562e-01 -3.960351943969726562e-01 -3.915734291076660156e-01 -3.869996070861816406e-01 -3.823418617248535156e-01 -3.776879310607910156e-01 -3.731341361999511719e-01 -3.687443733215332031e-01 -3.645339012145996094e-01 -3.604879379272460938e-01 -3.565797805786132812e-01 -3.527822494506835938e-01 -3.490734100341796875e-01 -3.454396724700927734e-01 -3.418765068054199219e-01 -3.383855819702148438e-01 -3.349757194519042969e-01 -3.316586017608642578e-01 -3.284463882446289062e-01 -3.253490924835205078e-01 -3.223755359649658203e-01 -3.195328712463378906e-01 -3.168263435363769531e-01 -3.142623901367187500e-01 -3.118476867675781250e-01 -3.095899820327758789e-01 -3.074990510940551758e-01 -3.055851459503173828e-01 -3.038597106933593750e-01 -3.023347854614257812e-01 -3.010214567184448242e-01 -2.999303936958312988e-01 -2.990713119506835938e-01 -2.984519004821777344e-01 -2.980778217315673828e-01 -1.489763855934143066e-01
